F1,id,neighbourhood,latitude,longitude,room_type,price,days_occupied_in_2019,minimum_nights,number_of_reviews,reviews_per_month,availability_2020
20667,17904418,122,40.70663,-73.91461,2,160,4,7,21,0.65,365
28668,24041916,122,40.77289,-73.91293,2,100,23,7,34,1.99,0
6178,4767748,122,40.77206,-73.91124,2,107,28,7,114,2.05,351
20681,17923261,122,40.71774,-73.89181,2,90,38,7,34,2.32,320
23376,20163793,122,40.6997,-73.84236,2,100,57,7,4,0.18,364
14172,12039894,122,40.70764,-73.83116,2,219,93,7,3,0.21,151
6837,5389907,122,40.7636,-73.926,2,300,206,7,4,0.35,32
32210,27839683,122,40.6959,-73.84868,2,51,214,7,3,0.38,0
21992,19134850,122,40.75464,-73.91755,2,90,292,7,26,0.92,68
20041,17211881,122,40.77355,-73.92552,2,100,304,7,5,0.18,2
35423,30465539,122,40.75807,-73.91582,2,80,343,7,1,0.42,0
5232,4081707,93,40.67815,-74.01443,2,300,358,7,10,0.18,8
26674,22226558,75,40.68562,-73.83498,2,150,282,7,6,0.43,82
31714,27401585,143,40.70804,-73.89747,2,105,145,7,2,0.14,37
31857,27526910,143,40.70147,-73.9047,2,170,331,7,2,0.33,148
22116,19225880,143,40.70684,-73.89474,2,80,352,7,3,0.13,248
3525,2296024,149,40.88579,-73.91599,2,265,16,7,3,0.05,341
4725,3642325,36,40.58363,-73.93553,2,260,2,7,3,0.05,363
7459,6121052,6,40.72337,-73.99724,2,195,353,7,71,1.27,32
31290,26950241,6,40.72472,-74.00355,2,315,354,7,3,0.23,85
11365,9404709,42,40.64577,-74.00532,2,90,364,7,6,0.15,0
28487,23857107,87,40.71359,-74.01049,2,175,300,7,12,0.58,72
27536,22878805,73,40.76805,-73.96765,2,169,103,7,84,3.71,200
24682,21161561,73,40.77112,-73.96226,2,239,263,7,83,3.51,161
34151,29702562,73,40.77081,-73.94944,2,170,285,7,1,0.09,185
33587,29191862,73,40.76869,-73.95007,2,150,298,7,8,0.58,18
20834,18094196,73,40.7709,-73.95508,2,130,329,7,8,0.27,36
10999,9112676,157,40.78607,-73.97347,2,250,90,7,39,0.81,180
35302,30399838,157,40.77853,-73.97609,2,750,349,7,1,0.08,0
33064,28693418,157,40.78285,-73.97487,2,200,362,7,7,0.49,7
5420,4235620,40,40.73303,-73.79736,2,100,237,7,14,0.22,223
9854,8055598,119,40.85296,-73.93527,2,147,65,7,38,0.96,88
1825,853142,119,40.836,-73.94166,2,100,160,7,48,0.6,284
5837,4557370,119,40.86335,-73.92822,2,90,290,7,7,0.13,240
26425,22100318,119,40.85084,-73.93905,2,200,342,7,7,0.42,4
5383,4206034,86,40.63481,-74.09591,2,99,31,7,40,0.64,332
4352,3272201,22,40.73504,-74.00658,2,288,88,7,14,0.22,342
9074,7455580,22,40.73778,-73.99941,2,120,358,7,32,0.9,29
9839,8044856,126,40.71848,-73.95834,2,135,8,7,66,1.29,208
24902,21288895,126,40.71386,-73.9634,2,350,25,7,35,1.4,332
19220,16374392,126,40.71372,-73.96232,2,120,32,7,13,0.49,311
28753,24139165,126,40.71032,-73.94806,2,199,40,7,20,1.02,138
10172,8364979,126,40.71111,-73.95141,2,200,57,7,31,0.61,362
11246,9331114,126,40.71108,-73.94799,2,140,125,7,34,0.71,136
22364,19407992,126,40.71527,-73.95946,2,250,227,7,14,0.5,162
1430,690675,126,40.71407,-73.95336,2,199,278,7,4,0.08,0
26155,21976874,126,40.71622,-73.94462,2,350,289,7,28,1.16,170
23319,20120690,126,40.7188,-73.94283,2,250,301,7,10,0.37,103
35584,30559544,126,40.72066,-73.95726,2,150,315,7,3,0.27,12
16197,13662078,126,40.70845,-73.95397,2,135,325,7,10,0.25,0
10610,8776479,126,40.70353,-73.93482,2,140,326,7,17,0.45,0
34660,30047100,126,40.71323,-73.96319,2,90,335,7,1,0.09,0
28763,24154729,126,40.71426,-73.9369,2,90,337,7,18,0.96,0
24569,21072318,126,40.7173,-73.96199,2,350,352,7,3,0.11,0
1732,820953,126,40.72166,-73.94037,2,99,356,7,11,0.13,111
16160,13642568,126,40.71666,-73.95447,2,105,362,7,12,0.29,0
5967,4642913,172,40.65057,-73.97858,2,120,65,7,23,0.38,332
11785,9674453,107,40.76923,-73.91203,2,239,82,8,7,0.15,196
14920,12851100,107,40.77141,-73.91415,2,80,349,8,17,0.41,1
29337,24783060,154,40.68135,-73.93709,2,140,364,8,1,0.09,0
3367,2194038,111,40.68683,-73.96981,2,285,11,8,27,0.4,320
22342,19387536,111,40.70642,-73.92739,2,95,325,8,6,0.21,0
23533,20268134,111,40.69074,-73.93696,2,85,340,8,6,0.26,35
28935,24326705,111,40.72243,-73.95179,2,130,355,8,2,0.1,0
30697,26341895,111,40.69474,-73.95498,2,125,359,8,3,0.19,0
29775,25259845,67,40.74098,-73.99744,2,140,207,8,6,0.33,62
8893,7292891,67,40.74482,-73.99917,2,200,354,8,14,0.29,0
5514,4299536,66,40.68566,-73.96022,2,189,25,8,39,0.63,326
19504,16555274,147,40.8262,-73.92557,2,150,209,8,96,2.8,26
20421,17641625,174,40.72588,-73.98598,2,158,337,8,26,0.86,9
33249,28908909,165,40.68631,-73.97497,2,150,295,8,4,0.31,0
35439,30469789,89,40.72594,-73.94852,2,150,351,8,6,0.51,5
6725,5260942,65,40.80177,-73.9571,2,115,300,8,11,0.2,132
7320,5965198,129,40.63555,-73.97151,2,49,78,8,24,0.43,9
28887,24285869,106,40.71883,-73.98957,2,149,331,8,23,1.17,40
17269,14519882,12,40.76328,-73.9928,2,93,25,8,30,0.77,24
2260,1213745,12,40.78806,-73.97969,2,175,224,8,3,0.04,218
22287,19351427,122,40.74509,-73.94904,2,120,364,8,4,0.23,3
24145,20760640,143,40.70141,-73.90291,2,170,322,8,14,0.52,165
2963,1925224,126,40.71758,-73.9543,2,250,213,8,82,1.12,39
3133,2037632,114,40.72782,-73.98095,2,140,329,9,26,0.36,21
